month,orders,late_rate,late_rate_%
2016-09,1,1.0,100.0
2016-10,265,0.007547169811320755,0.8
2016-12,1,0.0,0.0
2017-01,750,0.029333333333333333,2.9
2017-02,1653,0.029643073200241985,3.0
2017-03,2546,0.04556166535742341,4.6
2017-04,2303,0.06556665219279201,6.6
2017-05,3545,0.029901269393511988,3.0
2017-06,3135,0.030303030303030304,3.0
2017-07,3872,0.027892561983471075,2.8
2017-08,4193,0.02909611256856666,2.9
2017-09,4150,0.04385542168674699,4.4
2017-10,4478,0.041759714158106295,4.2
2017-11,7288,0.12403951701427003,12.4
2017-12,5513,0.07455106112824234,7.5
2018-01,7069,0.05700947800254633,5.7
2018-02,6555,0.14126620900076278,14.1
2018-03,7003,0.18963301442239042,19.0
2018-04,6798,0.04501323918799647,4.5
2018-05,6749,0.06563935397836716,6.6
2018-06,6096,0.011646981627296589,1.2
2018-07,6156,0.03378817413905133,3.4
2018-08,6351,0.061880018894662256,6.2
