customer_state,orders,late_orders,late_rate,median_delivery_days,late_rate_%
AC,80,3,0.0375,18.356527777777778,3.8
AL,397,85,0.2141057934508816,22.332916666666662,21.4
AM,145,4,0.027586206896551724,25.875138888888888,2.8
AP,67,2,0.029850746268656716,24.347025462962964,3.0
BA,3256,396,0.12162162162162163,16.91396412037037,12.2
CE,1279,176,0.1376075058639562,18.20920138888889,13.8
DF,2080,118,0.05673076923076923,11.364924768518518,5.7
ES,1995,214,0.10726817042606517,13.636956018518518,10.7
GO,1957,128,0.06540623403168115,13.949606481481482,6.5
MA,717,125,0.17433751743375175,19.19060185185185,17.4
MG,11354,519,0.04571076272679232,10.313512731481481,4.6
MS,701,68,0.09700427960057062,13.943796296296297,9.7
MT,886,53,0.05981941309255079,16.109050925925924,6.0
PA,946,106,0.11205073995771671,21.078391203703703,11.2
PB,517,54,0.10444874274661509,18.15244212962963,10.4
PE,1593,153,0.096045197740113,15.702766203703703,9.6
PI,476,66,0.13865546218487396,16.29226851851852,13.9
PR,4923,199,0.04042250660166565,10.42550925925926,4.0
RJ,12350,1495,0.12105263157894737,12.04164351851852,12.1
RN,474,44,0.09282700421940929,16.060254629629632,9.3
RO,243,7,0.02880658436213992,17.582361111111112,2.9
RR,41,5,0.12195121951219512,25.00730324074074,12.2
RS,5344,325,0.06081586826347305,13.177488425925926,6.1
SC,3546,291,0.08206429780033841,13.014351851851853,8.2
SE,335,51,0.15223880597014924,18.014305555555556,15.2
SP,40494,1820,0.044944930113103174,7.210271990740741,4.5
TO,274,27,0.09854014598540146,15.865885416666668,9.9
