category,orders,late_orders,late_rate,median_weight_kg,late_rate_%
baby,2716,224,0.08247422680412371,0.7,8.2
office_furniture,1239,101,0.08151735270379339,11.88,8.2
electronics,2494,192,0.07698476343223737,0.2,7.7
musical_instruments,603,46,0.07628524046434494,0.9,7.6
health_beauty,8576,648,0.07555970149253731,0.45,7.6
bed_bath_table,9069,684,0.07542176645716175,1.383,7.5
construction_tools_construction,719,54,0.07510431154381085,1.425,7.5
watches_gifts,5453,406,0.07445442875481387,0.35,7.4
auto,3773,278,0.07368142062019613,0.95,7.4
furniture_decor,6103,446,0.07307881369818123,1.8,7.3
telephony,4066,291,0.07156910969011314,0.245,7.2
unknown,1332,95,0.07132132132132132,0.45,7.1
garden_tools,3377,225,0.06662718389102754,1.75,6.7
stationery,2231,148,0.06633796503809951,1.2,6.6
sports_leisure,7457,493,0.0661123776317554,0.8,6.6
perfumery,3059,202,0.06603465184700882,0.4,6.6
computers_accessories,6478,417,0.06437171966656376,0.338,6.4
toys,3752,241,0.06423240938166311,0.85,6.4
consoles_games,1010,62,0.061386138613861385,0.2625,6.1
cool_stuff,3492,208,0.05956471935853379,1.5,6.0
fashion_bags_accessories,1801,100,0.0555247084952804,0.2,5.6
housewares,5627,307,0.05455837924293584,1.4,5.5
pet_shop,1673,83,0.049611476389719064,0.974,5.0
small_appliances,603,29,0.04809286898839138,1.2,4.8
home_appliances,747,33,0.04417670682730924,0.475,4.4
luggage_accessories,1004,43,0.04282868525896414,1.25,4.3
