customer_state,orders,promised_days,actual_days,days_early,late_rate,late_rate_%
AC,80,41.0,18.356527777777778,22.0,0.0375,3.8
AP,67,48.0,24.347025462962964,22.0,0.029850746268656716,3.0
RO,243,38.0,17.582361111111112,21.0,0.02880658436213992,2.9
RR,41,45.0,25.00730324074074,20.0,0.12195121951219512,12.2
AM,145,46.0,25.875138888888888,19.0,0.027586206896551724,2.8
PA,946,37.0,21.078391203703703,16.0,0.11205073995771671,11.2
MT,886,32.0,16.109050925925924,15.0,0.05981941309255079,6.0
RN,474,32.5,16.060254629629632,15.0,0.09282700421940929,9.3
RS,5344,29.0,13.177488425925926,15.0,0.06081586826347305,6.1
MG,11354,24.0,10.313512731481481,14.0,0.04571076272679232,4.6
PB,517,33.0,18.15244212962963,14.0,0.10444874274661509,10.4
PI,476,30.0,16.29226851851852,14.0,0.13865546218487396,13.9
PR,4923,25.0,10.42550925925926,14.0,0.04042250660166565,4.0
PE,1593,32.0,15.702766203703703,14.0,0.096045197740113,9.6
SC,3546,26.0,13.014351851851853,13.0,0.08206429780033841,8.2
CE,1279,32.0,18.20920138888889,13.0,0.1376075058639562,13.8
DF,2080,25.0,11.364924768518518,13.0,0.05673076923076923,5.7
GO,1957,27.0,13.949606481481482,13.0,0.06540623403168115,6.5
RJ,12350,25.0,12.04164351851852,13.0,0.12105263157894737,12.1
TO,274,29.0,15.865885416666668,13.0,0.09854014598540146,9.9
SE,335,30.0,18.014305555555556,13.0,0.15223880597014924,15.2
BA,3256,30.0,16.91396412037037,12.0,0.12162162162162163,12.2
ES,1995,26.0,13.636956018518518,12.0,0.10726817042606517,10.7
MS,701,26.0,13.943796296296297,12.0,0.09700427960057062,9.7
MA,717,31.0,19.19060185185185,11.0,0.17433751743375175,17.4
SP,40494,19.0,7.210271990740741,11.0,0.044944930113103174,4.5
AL,397,32.0,22.332916666666662,10.0,0.2141057934508816,21.4
